Strain,Project,Site,Species,Host family (plant) or order or class (lichen),Plant or Lichen host,Site-Host
EAB327,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB328,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB329,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB330,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB331,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB334,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB336,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB337,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB338,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB339,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB340,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB425,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB426,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB427,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB428,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB429,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB432,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB433,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB434,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB435,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB436,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB437,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB438,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB440,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB441,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB442,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB498,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB499,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB500,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB501,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB502,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB504,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB506,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB507,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB508,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB509,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB510,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB511,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB512,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB514,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB516,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB517,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB518,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB519,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB520,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB521,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB522,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB523,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB524,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB525,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB526,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB527,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB528,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB529,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB530,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB531,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB532,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB533,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB534,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB537,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB538,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB539,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB540,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB542,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB543,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB544,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB545,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB547,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB548,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB549,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB550,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB551,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB552,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB553,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB557,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB559,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB560,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB561,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB562,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB563,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB564,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB565,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB566,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
EAB567,Arizona,Mt. Lemmon,Pinus ponderosa,Pinaceae,Plant-conifer,Mt. Lemmon_Plant-conifer
JM0220A,Arizona,Santa Rita Experimental Range,Eragrostis lehmanniana,Poaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
JM0223,Arizona,Santa Rita Experimental Range,Eragrostis lehmanniana,Poaceae,Plant-angiosperm,Santa Rita Experimental Range_Plant-angiosperm
SY0216,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0217,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0218,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0219A,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0219B,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0220,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0221,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0222,Arizona,"Tucson, Grant/Santa Cruz",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0225,Arizona,"Tucson, Grant/Santa Cruz",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0226A,Arizona,"Tucson, Grant/Santa Cruz",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0487,Arizona,"Tucson, Grant/Santa Cruz",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY0489,Arizona,"Tucson, Grant/Santa Cruz",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1017,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1018,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1020,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1021,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1022,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1024,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1025,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1028A,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1036,Arizona,"Tucson, Swan/Rillito",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1037,Arizona,"Tucson, Swan/Rillito",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1038,Arizona,"Tucson, Swan/Rillito",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1039,Arizona,"Tucson, Swan/Rillito",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1040,Arizona,"Tucson, Swan/Rillito",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1041,Arizona,"Tucson, Swan/Rillito",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1042,Arizona,"Tucson, Swan/Rillito",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1043,Arizona,"Tucson, Swan/Rillito",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1044,Arizona,"Tucson, Swan/Rillito",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1056,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1057,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1058,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1059,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1061A,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1062,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1063,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1064,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1066,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1068A,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1069A,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1070,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1071A,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1072A,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1073A,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1073B,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1074A,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1075,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1077,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1079,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1080,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1085,Arizona,"Tucson, Swan/Rillito",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Swan/Rillito_Plant-angiosperm"
SY1106,Arizona,"Tucson, First/River/CAC",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1107,Arizona,"Tucson, First/River/CAC",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1108,Arizona,"Tucson, First/River/CAC",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1109,Arizona,"Tucson, First/River/CAC",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1112,Arizona,"Tucson, First/River/CAC",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1114A,Arizona,"Tucson, First/River/CAC",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1115A,Arizona,"Tucson, First/River/CAC",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1116,Arizona,"Tucson, First/River/CAC",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1117,Arizona,"Tucson, First/River/CAC",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1118,Arizona,"Tucson, First/River/CAC",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1120,Arizona,"Tucson, First/River/CAC",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1123,Arizona,"Tucson, First/River/CAC",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1124A,Arizona,"Tucson, First/River/CAC",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1125,Arizona,"Tucson, First/River/CAC",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1134,Arizona,"Tucson, First/River/CAC",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1246,Arizona,"Tucson, First/River/CAC",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1247,Arizona,"Tucson, First/River/CAC",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1248A,Arizona,"Tucson, First/River/CAC",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1250A,Arizona,"Tucson, First/River/CAC",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1251A,Arizona,"Tucson, First/River/CAC",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1252,Arizona,"Tucson, First/River/CAC",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1253A,Arizona,"Tucson, First/River/CAC",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1254A,Arizona,"Tucson, First/River/CAC",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1260B,Arizona,"Tucson, First/River/CAC",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1261A,Arizona,"Tucson, First/River/CAC",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1264,Arizona,"Tucson, First/River/CAC",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1265,Arizona,"Tucson, First/River/CAC",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1266,Arizona,"Tucson, First/River/CAC",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1268A,Arizona,"Tucson, First/River/CAC",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1276,Arizona,"Tucson, First/River/CAC",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1278,Arizona,"Tucson, First/River/CAC",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1279,Arizona,"Tucson, First/River/CAC",Cenchrus ciliaris,Poaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm"
SY1416,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1417A,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1418,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1419A,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1421A,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1422A,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1423A,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1424A,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1427,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1428,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1429,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1430A,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1431A,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1432,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1433,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1434A,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1437A,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1438A,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1439A,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1440A,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1441A,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1442A,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1444A,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
SY1445,Arizona,"Tucson, Grant/Santa Cruz",Cynodon dactylon,Poaceae,Plant-angiosperm,"Tucson, Grant/Santa Cruz_Plant-angiosperm"
