Query sequence,Most common phylum-level assignment,Most common class-level assignment,Most common order-level assignment,Most common family-level assignment,Most common Genus-level assignment,Taxon assignment,Likelihood weight,otu,ITS length
DF0031,Ascomycota,Sordariomycetes,Diaporthales,Gnomoniaceae,Discula,Discula_campestris,"0.299953, 0.188659, 0.188615, 0.163457, 0.159317",OTU34,1020
DF0032,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,"Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Amphisphaeria_umbrina,Pestalotiopsis_vismiae,Beltraniella_carolinensis,Lepteutypa_uniseptata","0.552138, 0.163704, 0.157620, 0.058404, 0.057763",OTU32,998
DF0033,Ascomycota,Sordariomycetes,Diaporthales,Gnomoniaceae,Discula,Discula_campestris,"0.299401, 0.188801, 0.188758, 0.163606, 0.159434",OTU34,1012
DF0034,Ascomycota,Sordariomycetes,Diaporthales,Gnomoniaceae,Discula,Discula_campestris,"0.299243, 0.188844, 0.188801, 0.163642, 0.159470",OTU34,1010
DF0035,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,"Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Amphisphaeria_umbrina,Pestalotiopsis_vismiae,Beltraniella_carolinensis,Lepteutypa_uniseptata","0.515771, 0.188199, 0.176722, 0.056503, 0.055969",OTU32,998
DF0036,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella_citrina,0.999991,OTU17,961
DF0037,Ascomycota,Dothideomycetes,Pleosporales,Morosphaeriaceae,Helicascus,Helicascus_chiangraiensis,"0.010171, 0.007232, 0.003863, 0.003063, 0.002827, 0.002815, 0.002815, 0.002790, 0.002465, 0.002362, 0.002225",OTU35,650
DF0038,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Dothidea,"Neocylindroseptoria_pistaciae,Dothidea_insculpta,Delphinella_strobiligena,Dothidea_hippophaeos,Stylodothis_puccinioides,Dothiora_cannabinae,Sydowia_polyspora,Dothiora_ceratoniae,Dothidea_ribesia,Dothidea_sambuci","0.466692, 0.376821, 0.156290",OTU36,977
DF0039,Ascomycota,Dothideomycetes,Pleosporales,Thyridariaceae,Parathyridaria,"Parathyridaria_percutanea,Arthopyrenia_salicis,Parathyridaria_ramulicola",0.999953,OTU37,970
DF0040,Ascomycota,Eurotiomycetes,Phaeomoniellales,unclassified,Neophaeomoniella,Neophaeomoniella_zymoides,1,OTU38,989
DF0041,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella_citrina,0.999993,OTU17,1049
DF0042,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella_citrina,0.999987,OTU17,1049
DF0043,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,"Xylaria_lichenicola,Xylaria_acuta,Xylaria_hypoxylon,Nemania_diffusa,Geniculisynnema_termiticola,Kretzschmaria_deusta,Xylaria_cf_obovata,Nemania_aenea,Nemania_serpens","0.890211, 0.066895",OTU39,888
DF0044,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella_citrina,0.999999,OTU17,1038
DF0045,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,"Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Amphisphaeria_umbrina,Pestalotiopsis_vismiae,Beltraniella_carolinensis,Lepteutypa_uniseptata","0.604926, 0.157827, 0.141251, 0.039181, 0.038860",OTU32,1032
DF0046,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,"Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Amphisphaeria_umbrina,Pestalotiopsis_vismiae,Beltraniella_carolinensis,Lepteutypa_uniseptata","0.551528, 0.158622, 0.154121, 0.062239, 0.061592",OTU32,961
DF0047,Ascomycota,Eurotiomycetes,Phaeomoniellales,unclassified,Celerioriella,"Celerioriella_prunicola,Celerioriella_dura,Dolabra_nepheliae",0.956068,OTU40,995
DF0048,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma,"Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Amphisphaeria_umbrina,Pestalotiopsis_vismiae,Beltraniella_carolinensis,Lepteutypa_uniseptata","0.521519, 0.186924, 0.174972, 0.054919, 0.054401",OTU32,961
DF0049,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella_citrina,0.999999,OTU17,972
DF0050,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella_citrina,0.999998,OTU17,1000
DF0051,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella_citrina,0.999996,OTU17,967
DF0052,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Dothidea,"Neocylindroseptoria_pistaciae,Dothidea_insculpta,Aureobasidium_lini,Delphinella_strobiligena,Dothidea_hippophaeos,Stylodothis_puccinioides,Dothiora_cannabinae,Sydowia_polyspora,Dothiora_ceratoniae,Dothidea_ribesia,Dothidea_sambuci","0.350369, 0.329488, 0.262717, 0.040795",OTU20,1055
DF0053,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella_citrina,0.999993,OTU17,996
DF0055,Ascomycota,Eurotiomycetes,Phaeomoniellales,unclassified,Neophaeomoniella,Neophaeomoniella_zymoides,1,OTU18,1001
DF0056,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella_citrina,0.999998,OTU17,986
DF0057,Ascomycota,Eurotiomycetes,Phaeomoniellales,unclassified,Neophaeomoniella,Neophaeomoniella_zymoides,1,OTU18,995
DF0058,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella_citrina,0.999998,OTU17,992
DS0001,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.999952,OTU0,982
DS0008,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.999788,OTU0,962
DS0011,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,"Chaenotheca_trichialis,Chaenotheca_gracilenta,Chaenotheca_brachypoda,Chaenotheca_furfuracea,Sclerophora_farinacea,Sclerophora_coniophaea","0.916878, 0.042290",OTU41,936
DS0012,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,"Chaenotheca_trichialis,Chaenotheca_gracilenta,Chaenotheca_brachypoda,Chaenotheca_furfuracea,Sclerophora_farinacea,Sclerophora_coniophaea","0.902558, 0.082534",OTU41,542
DS0014,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,"0.745312, 0.129571, 0.124194",OTU28,941
DS0015,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,"Chaenotheca_trichialis,Chaenotheca_gracilenta,Chaenotheca_brachypoda,Chaenotheca_furfuracea,Sclerophora_farinacea,Sclerophora_coniophaea","0.462537, 0.283784, 0.107019, 0.106933",OTU41,1011
DS0016,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.999617,OTU0,958
DS0018,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,0.993536,OTU42,954
DS0019,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,"Chaenotheca_trichialis,Chaenotheca_gracilenta,Chaenotheca_brachypoda,Chaenotheca_furfuracea,Sclerophora_farinacea,Sclerophora_coniophaea","0.794342, 0.107614, 0.041787, 0.041714",OTU41,927
DS0026,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca,"Chaenotheca_trichialis,Chaenotheca_gracilenta,Chaenotheca_brachypoda,Chaenotheca_furfuracea,Sclerophora_farinacea,Sclerophora_coniophaea","0.757126, 0.122018, 0.048624, 0.048622",OTU41,981
DS0028,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.999788,OTU0,963
DS0030,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Sphaerulina,Sphaerulina_tirolensis,"0.697603, 0.083134, 0.041732, 0.037642, 0.031617, 0.015302, 0.013733, 0.013092, 0.013072, 0.012173",OTU43,440
DS0047,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_minima,0.999978,OTU0,1032
EAB115,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.664207, 0.155023, 0.119439, 0.036433",OTU44,642
EAB116,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola,0.991305,OTU27,960
EAB117,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.563528, 0.231756, 0.198671",OTU44,1101
EAB118,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.590613, 0.218446, 0.184370",OTU44,1110
EAB119,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.598402, 0.213508, 0.180455",OTU44,1150
EAB120,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.608341, 0.209867, 0.173796",OTU44,1157
EAB121,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.598402, 0.213508, 0.180455",OTU44,1109
EAB122,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.551422, 0.239922, 0.204552",OTU44,1100
EAB124,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.632507, 0.146972, 0.081291, 0.076245, 0.062986",OTU44,898
EAB125,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.567416, 0.230780, 0.194670",OTU44,935
EAB126,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.599162, 0.213123, 0.179993",OTU44,1109
EAB127,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.590613, 0.218446, 0.184370",OTU44,1173
EAB128,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.578444, 0.223634, 0.191747",OTU44,950
EAB129,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.599162, 0.213123, 0.179993",OTU44,1110
EAB130,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.590613, 0.218446, 0.184370",OTU44,1110
EAB131,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.601992, 0.213046, 0.177604",OTU44,1214
EAB132,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.589592, 0.218912, 0.184974",OTU44,1102
EAB133,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.617556, 0.204545, 0.168018",OTU44,1060
EAB134,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.598402, 0.213508, 0.180455",OTU44,1168
EAB135,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.614275, 0.208332, 0.170122",OTU44,1213
EAB136,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.590613, 0.218446, 0.184370",OTU44,1111
EAB137,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.592077, 0.217719, 0.183489",OTU44,1106
EAB138,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.583145, 0.222076, 0.188851",OTU44,1105
EAB140,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.582369, 0.222453, 0.189317",OTU44,1110
EAB142,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.594506, 0.214940, 0.182224",OTU44,1173
EAB143,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.590613, 0.218446, 0.184370",OTU44,1108
EAB144,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.598402, 0.213508, 0.180455",OTU44,1111
EAB145,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.634458, 0.194322, 0.158263",OTU44,1067
EAB146,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.606816, 0.209266, 0.175358",OTU44,1152
EAB148,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.544177, 0.246417, 0.205697",OTU44,1026
EAB149,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.617556, 0.204545, 0.168018",OTU44,1034
EAB150,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.587907, 0.219986, 0.184797",OTU44,1220
EAB151,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.599869, 0.212765, 0.179564",OTU44,1107
EAB152,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.599040, 0.214532, 0.179379",OTU44,1206
EAB153,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.652505, 0.168955, 0.131554",OTU44,635
EAB154,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.598402, 0.213508, 0.180455",OTU44,1176
EAB155,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.590613, 0.218446, 0.184370",OTU44,1110
EAB156,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.591585, 0.217963, 0.183785",OTU44,1106
EAB157,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.599162, 0.213123, 0.179993",OTU44,1108
EAB158,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.599162, 0.213123, 0.179993",OTU44,1108
EAB159,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.619370, 0.203165, 0.169646",OTU44,1106
EAB160,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.624208, 0.199881, 0.164601",OTU44,1130
EAB162,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.588256, 0.219610, 0.185788",OTU44,1136
EAB165,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.603167, 0.211085, 0.177559",OTU44,1154
EAB166,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,"Coniochaeta_prunicola,Coniochaeta_hoffmannii,Coniochaeta_velutina,Coniochaeta_mutabilis,Coniochaeta_ligniaria,Coniochaeta_lignicola,Coniochaeta_africana","0.335005, 0.317322, 0.310311",OTU45,999
EAB167,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.652505, 0.168955, 0.131554",OTU44,642
EAB168,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.607412, 0.209315, 0.174253",OTU44,980
EAB169,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.679510, 0.155498, 0.116334",OTU44,641
EAB170,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,"Coniochaeta_tetraspora,Coniochaeta_decumbens,Coniochaeta_discoidea","0.581961, 0.194020, 0.170104, 0.026974",OTU46,1050
EAB171,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.606839, 0.209532, 0.175446",OTU44,1222
EAB172,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.599040, 0.214532, 0.179379",OTU44,1203
EAB173,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella_citrina,"0.496575, 0.240113, 0.098401, 0.077896, 0.074421",OTU47,1002
EAB174,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.587463, 0.218603, 0.186170",OTU44,1002
EAB175,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.606839, 0.209532, 0.175446",OTU44,1226
EAB176,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.592294, 0.217579, 0.183350",OTU44,1102
EAB177,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Sydowia,Sydowia_polyspora,0.998632,OTU48,977
EAB178,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.604318, 0.211027, 0.176179",OTU44,998
EAB179,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.598402, 0.213508, 0.180455",OTU44,1109
EAB180,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.591585, 0.217963, 0.183785",OTU44,1108
EAB181,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Pezicula,"Pezicula_carpinea,Pezicula_fagacearum,Neofabraea_malicorticis,Pezicula_neoheterochroma,Dermea_acerina,Neofabraea_actinidiae,Neofabraea_inaequalis,Pezicula_californiae,Pseudofabraea_citricarpa,Pezicula_microspora,Phlyctema_vincetoxici","0.819438, 0.159843",OTU47,941
EAB182,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.597425, 0.215014, 0.180257",OTU44,1100
EAB183,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.590613, 0.218446, 0.184370",OTU44,1110
EAB184,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.590613, 0.218446, 0.184370",OTU44,1168
EAB185,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.603563, 0.212251, 0.176658",OTU44,1217
EAB186,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.589592, 0.218912, 0.184974",OTU44,1103
EAB187,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.633314, 0.145584, 0.081882, 0.075705, 0.063515",OTU44,899
EAB188,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella_citrina,"0.586153, 0.189306, 0.081653, 0.069330, 0.062129",OTU47,1003
EAB189,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella_citrina,"0.586153, 0.189306, 0.081653, 0.069330, 0.062129",OTU47,1002
EAB190,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.632507, 0.146972, 0.081291, 0.076245, 0.062986",OTU44,897
EAB192,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.598402, 0.213508, 0.180455",OTU44,1144
EAB193,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella_citrina,"0.651054, 0.153054, 0.068313, 0.066941, 0.050632",OTU47,1040
EAB194,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.599040, 0.214532, 0.179379",OTU44,1202
EAB195,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.599162, 0.213123, 0.179993",OTU44,1132
EAB196,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Cyclaneusma,Cyclaneusma_minus,1,OTU49,946
EAB197,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.623784, 0.160194, 0.081366, 0.076155, 0.058502",OTU44,887
EAB198,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.644938, 0.169027, 0.133379, 0.030446",OTU44,640
EAB199,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.647395, 0.169225, 0.132789, 0.029303",OTU44,425
EAB200,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.679510, 0.155498, 0.116334",OTU44,640
EAB201,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.591372, 0.218069, 0.183913",OTU44,1109
EAB202,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Pezicula,"Pezicula_carpinea,Pezicula_fagacearum,Neofabraea_malicorticis,Pezicula_neoheterochroma,Dermea_acerina,Neofabraea_actinidiae,Neofabraea_inaequalis,Pezicula_californiae,Pseudofabraea_citricarpa,Pezicula_microspora,Phlyctema_vincetoxici","0.818533, 0.160969",OTU47,942
EAB203,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Pezicula,"Pezicula_carpinea,Pezicula_fagacearum,Neofabraea_malicorticis,Pezicula_neoheterochroma,Dermea_acerina,Neofabraea_actinidiae,Neofabraea_inaequalis,Pezicula_californiae,Pseudofabraea_citricarpa,Pezicula_microspora,Phlyctema_vincetoxici",0.968479,OTU47,900
EAB204,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.699165, 0.148773, 0.119437",OTU44,1108
EAB210,Ascomycota,Eurotiomycetes,Phaeomoniellales,unclassified,Neophaeomoniella,Neophaeomoniella_zymoides,1,OTU38,864
EAB211,Ascomycota,Eurotiomycetes,Phaeomoniellales,unclassified,Neophaeomoniella,Neophaeomoniella_zymoides,1,OTU38,917
EAB213,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.563305, 0.170243, 0.143147, 0.062109, 0.061195",OTU44,539
EAB215,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.253171, 0.250250, 0.249114, 0.045876, 0.045808, 0.045801, 0.032795, 0.032775",OTU44,395
EAB216,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,"Lophodermium_pinastri,Meloderma_desmazieresii","0.599040, 0.214532, 0.179379",OTU44,1162
